Symbol,Start,End,Label,Market Cap,Sector,Income,Sales,Employees,Analyst Rating (1 buy/5 sell),price-to-earnings,Price/Earnings-to-Growth,Price-to-Sales Ratio,Price-to-Book,Price to free cash flow,debt-to-equity,EPS (ttm),Inst Own,ROE,ROI,Profit Margin,Shs Outstand,Beta
EVH,16.24,27.67,UP,3080316043,Health Care,-19.50M,1.09B,3500,1.50,-,-,2.20,3.30,66.19,0.00,-0.22,92.60%,-4.50%,-2.00%,-2.60%,101.19M,1.60
EVR,108.08,136.23,UP,4117573770,Finance,631.90M,3.06B,1950,2.40,7.07,-,1.42,3.15,4.03,0.00,15.11,84.30%,56.90%,50.40%,24.60%,39.83M,1.54
EVRG,53.75,68.43,UP,13936575779,Utilities,819.80M,5.41B,4930,2.40,17.20,4.78,2.60,1.51,-,1.28,3.56,86.60%,8.80%,6.00%,15.20%,229.90M,0.53
EVRI,13.15,21.17,UP,1708944071,Consumer Discretionary,160.20M,721.50M,1550,1.60,11.95,0.60,2.35,8.61,9.08,4.84,1.59,91.10%,96.90%,18.60%,22.20%,91.71M,2.41
EVTC,38.33,50.17,UP,2363547712,Technology,148.90M,611.90M,2500,2.60,16.32,7.88,3.65,4.69,10.86,0.89,2.05,91.40%,31.50%,18.90%,24.30%,71.48M,0.99
EW,88.92,130.68,UP,44728892356,Health Care,1.46B,5.36B,15700,2.00,29.60,2.78,7.91,6.86,40.66,0.10,2.32,84.90%,24.50%,23.20%,27.20%,619.80M,1.04
EXP,99.67,165.96,UP,4495417211,Industrials,420.80M,2.04B,2200,1.90,11.36,1.42,2.24,3.97,10.72,0.98,10.89,98.10%,36.30%,18.10%,20.60%,37.14M,1.30
EXR,110.29,225.57,UP,23833664167,Real Estate,891.20M,1.76B,4309,2.30,22.87,3.81,11.55,6.37,57.34,1.99,6.65,98.50%,26.40%,10.50%,47.00%,134.19M,0.54
F,8.52,20.47,UP,54052093430,Consumer Discretionary,9.01B,151.74B,183000,2.70,6.19,0.74,0.36,1.31,66.78,3.05,2.21,52.30%,20.00%,1.60%,5.90%,4.02B,1.42
FAF,51.16,78.11,UP,5254438722,Finance,468.80M,8.29B,22233,2.30,11.89,-,0.63,1.18,12.47,0.44,4.24,89.00%,9.10%,16.60%,5.70%,105.30M,1.23
FBC,40.36,47.79,UP,2080702215,Finance,271.00M,836.00M,5036,3.00,7.04,3.52,2.27,0.70,-,0.15,5.06,93.00%,16.20%,18.90%,52.30%,53.27M,1.49
FBK,34.42,43.87,UP,1977008263,Finance,135.20M,431.00M,1962,2.20,14.81,-,4.57,1.50,4.03,0.12,2.85,65.50%,12.50%,21.50%,40.10%,47.11M,1.02
FBP,9.02,13.82,UP,2950041932,Finance,303.90M,827.60M,3075,2.00,9.93,0.69,3.49,1.91,9.17,0.12,1.54,99.90%,15.80%,28.40%,36.20%,194.41M,1.17
FC,22.41,45.7,UP,700667558,Consumer Discretionary,14.70M,253.00M,1000,1.50,46.57,3.10,2.61,9.07,12.60,0.35,1.03,63.60%,18.20%,13.90%,5.80%,14.17M,1.39
FCF,10.88,16.11,UP,1346964148,Finance,127.20M,307.20M,1393,2.20,10.67,1.33,4.37,1.29,15.18,0.25,1.35,70.50%,11.60%,17.20%,41.10%,94.02M,1.00
FCN,110.76,153.91,UP,5328353197,Consumer Discretionary,226.20M,2.93B,7518,1.50,26.06,3.31,1.96,3.39,55.37,0.19,6.32,-,14.00%,13.20%,7.70%,33.81M,0.22
FCPT,28.46,29.76,UP,2074777591,Real Estate,95.20M,213.20M,461,2.10,22.02,-,10.10,2.15,-,0.98,1.21,99.20%,10.00%,6.40%,44.70%,83.89M,0.88
FCX,27.14,41.62,UP,45279283548,Basic Materials,5.11B,24.60B,24700,2.30,9.97,-,1.93,3.35,6.10,0.74,3.46,80.10%,35.80%,25.90%,20.80%,1.45B,1.94
FDP,24.2,27.42,UP,1248440621,Consumer Staples,37.10M,4.37B,40055,2.00,35.98,1.50,0.31,0.72,296.94,0.25,0.77,67.00%,2.00%,4.70%,0.80%,47.83M,0.65
FDX,253.19,258.56,UP,41947430470,Consumer Discretionary,3.58B,94.75B,191000,2.40,11.71,1.26,0.44,1.64,21.14,0.80,13.60,73.70%,14.40%,11.40%,3.80%,259.00M,1.32
FE,29.51,41.36,UP,21437886047,Utilities,1.24B,11.94B,12395,2.50,17.00,-,1.76,1.98,-,1.97,2.20,89.90%,12.70%,5.50%,10.40%,571.75M,0.45
FEDU,21.4,14,DOWN,19093681,Real Estate,-15.50M,34.30M,286,3.00,-,-,0.54,0.30,-,0.00,-106.66,1.20%,-20.10%,-18.80%,-45.30%,2.19M,-0.05
FENG,7.14,5.17,DOWN,54923709,Industrials,-47.20M,125.30M,1245,2.00,-,-,0.40,0.31,-,0.00,-13.46,18.60%,-25.20%,-25.00%,-37.70%,12.13M,1.23
FERG,120.28,179.54,UP,22806354890,Consumer Discretionary,2.10B,28.57B,36000,2.50,11.53,18.90,0.80,5.04,33.38,0.84,9.60,78.90%,44.30%,25.70%,7.40%,212.30M,1.26
FET,12.75,15.85,UP,150867529,Industrials,-31.10M,616.60M,1400,3.00,-,-,0.26,0.51,-,0.87,-6.24,33.80%,-9.60%,-9.00%,-5.00%,5.75M,2.98
FF,13.2,7.54,DOWN,299266185,Industrials,16.00M,365.80M,470,2.00,18.99,1.90,0.85,1.16,10.04,0.00,0.37,47.60%,5.90%,8.00%,4.40%,43.76M,0.79
FHI,28.04,37.74,UP,3097672407,Finance,240.80M,1.28B,1968,2.70,13.45,0.87,2.43,3.13,46.52,0.41,2.64,84.00%,22.20%,19.60%,18.80%,85.37M,1.03
FHN,12.84,16.37,UP,13144249507,Finance,796.00M,2.16B,7676,2.80,16.87,1.78,6.08,1.80,15.09,0.22,1.44,81.90%,10.60%,21.90%,36.90%,534.60M,0.98
FICO,505.26,437.11,DOWN,12088378452,Technology,368.60M,1.36B,3367,2.10,31.99,1.83,8.14,-,24.69,-,13.66,92.70%,-68.20%,35.30%,27.00%,25.63M,1.23
FINV,2.61,4.9,UP,1243487910,Finance,329.80M,1.38B,4259,1.70,4.22,35.17,0.95,0.86,-,0.00,1.12,40.30%,22.50%,22.30%,23.90%,284.57M,0.63
FIS,139.91,109.99,DOWN,50371023365,Consumer Discretionary,846.00M,14.39B,65000,2.00,44.92,3.64,2.61,0.81,10.84,0.40,1.38,93.10%,1.80%,0.60%,5.90%,608.00M,0.86
FIX,51.58,98.34,UP,4406805356,Industrials,228.10M,3.88B,13200,2.20,19.28,1.93,1.14,4.59,32.55,0.40,6.31,98.90%,25.80%,11.90%,5.90%,35.85M,1.24
FL,39.1,43.96,UP,2949265030,Consumer Discretionary,488.00M,8.77B,16555,2.80,6.39,0.20,0.33,0.92,-,0.14,4.89,-,15.00%,14.00%,5.60%,94.10M,1.21
FLNG,8.7,22.97,UP,1674006863,Consumer Discretionary,-,355.07M,8,-,9.03,-,5.20,2.03,-,-,3.85,25.08%,-,-,-,53.14M,-
FLO,22.91,27.42,UP,6070033581,Consumer Staples,217.40M,4.58B,8900,2.80,27.89,8.69,1.32,4.17,-,0.63,1.02,79.00%,15.20%,9.20%,4.80%,212.19M,0.38
FLR,15.82,24.57,UP,4329259321,Industrials,-39.60M,12.68B,40582,-,-,-,0.37,3.19,-,0.77,-0.35,97.40%,-11.00%,-5.60%,-1.30%,142.00M,2.43
FLS,34.77,30.49,DOWN,3774426980,Industrials,95.50M,3.49B,15000,2.60,42.61,3.10,1.20,2.45,-,0.77,0.73,-,4.80%,7.30%,2.40%,130.70M,1.64
FLT,265.93,225.65,DOWN,13968354621,Technology,939.10M,3.21B,9700,2.30,15.47,1.00,4.20,5.15,17.98,2.56,11.66,98.20%,32.30%,10.80%,29.30%,76.77M,1.22
FMC,113.12,109.39,DOWN,14927432969,Industrials,762.50M,5.41B,6400,2.30,20.81,2.38,2.88,5.05,113.62,1.25,5.98,91.90%,24.80%,15.40%,14.00%,126.20M,0.83
FMS,42.55,32.32,DOWN,8133420806,Health Care,-,19.05B,122758,2.80,11.23,10.70,0.43,0.69,-,-,1.28,6.61%,-,-,-,586.83M,-
FMX,75.12,77.34,UP,25487705721,Consumer Staples,1.35B,32.27B,342363,2.00,19.79,5.50,0.75,2.04,18.97,0.93,3.77,33.90%,9.30%,7.80%,3.80%,357.82M,0.90
FN,77.52,118.84,UP,4188134537,Utilities,200.40M,2.26B,14235,2.40,20.79,2.32,1.77,3.26,115.90,0.02,5.36,99.90%,16.60%,15.40%,8.90%,36.67M,1.00
FNB,9.45,12.21,UP,5087718028,Finance,390.50M,1.12B,3886,2.00,12.65,1.27,4.50,0.95,11.58,0.22,1.13,77.40%,6.90%,13.00%,31.80%,351.27M,1.13
FND,92.46,129.98,UP,7847293643,Consumer Discretionary,277.30M,3.91B,7986,1.90,27.26,1.18,1.97,4.99,-,0.18,2.59,-,20.20%,18.80%,7.10%,105.55M,1.76
FNF,38.4,52.01,UP,10961502888,Finance,2.05B,14.48B,28290,2.10,5.53,-,0.74,1.64,3.13,0.46,7.17,82.00%,24.40%,19.90%,14.10%,278.00M,1.34
FOR,20.17,21.65,UP,575219589,Finance,172.00M,1.56B,250,2.00,3.38,0.87,0.36,0.51,24.65,0.62,3.45,35.70%,15.90%,6.30%,11.10%,49.90M,1.69
FOUR,71.74,59.17,DOWN,2525277522,Technology,-16.00M,1.69B,1732,2.20,-,-,1.20,16.28,19.49,0.00,-0.30,-,-6.10%,-2.30%,-0.90%,80.21M,-
FPH,5.3,6.66,UP,157184582,Real Estate,-3.90M,213.20M,160,2.00,-,-,0.72,0.60,-,1.13,-0.13,81.20%,-7.10%,0.30%,-20.40%,147.75M,1.35
FPI,8.46,12,UP,764723129,Real Estate,9.00M,59.40M,25,2.60,71.24,-,12.65,1.28,326.57,0.71,0.19,44.90%,1.70%,1.70%,15.10%,53.49M,0.80
FR,40.84,66.02,UP,6298219684,Real Estate,391.20M,516.90M,162,2.30,15.86,1.59,12.12,2.57,-,0.82,2.97,97.40%,17.10%,4.60%,75.70%,132.09M,0.98
FRC,147.22,206.82,UP,21988875787,Finance,1.53B,5.19B,6902,2.20,13.33,1.75,3.94,1.57,15.53,0.10,8.39,95.50%,11.50%,26.40%,27.50%,183.00M,1.07
