Symbol,Start,End,Label,Market Cap,Sector,Income,Sales,Employees,Recom Analyst Rating (1 buy/5 sell),price-to-earnings,Price/Earnings-to-Growth,Price-to-Sales Ratio,Price-to-Book,Price to free cash flow,debt-to-equity,EPS (ttm),Inst Own,ROE,ROI,Profit Margin,Shs Outstand,Beta
UEC,1.8,3.38,UP,1527731350,Basic Materials,5.30M,100.80M,63,1.60,296.15,-,13.50,3.38,-,0.00,0.01,45.80%,1.90%,-0.80%,5.20%,365.05M,2.13
UFAB,5.7,1.95,DOWN,5396074,Consumer Discretionary,-14.70M,130.30M,915,2.00,-,-,0.04,0.26,-,2.40,-1.28,32.00%,-51.30%,-12.70%,-11.30%,11.73M,1.19
UUU,6.16,3.44,DOWN,8259319,Technology,-0.20M,19.50M,12,-,-,-,0.41,1.77,-,0.80,-0.09,24.00%,-4.20%,0.90%,-1.00%,2.31M,1.38
VNRX,3.8,3.18,DOWN,114616865,Health Care,-30.50M,0.20M,83,2.00,-,-,517.94,22.37,-,0.80,-0.57,10.40%,-222.10%,-,-,53.81M,1.82
WLMS,2.72,2.95,UP,35417069,Industrials,-5.70M,278.10M,572,2.00,-,-,0.12,1.11,-,1.35,-0.22,65.90%,-15.20%,8.90%,-1.90%,26.11M,1.14
WTT,1.74,2.25,UP,32160147,Telecommunications,-2.60M,39.60M,115,2.00,-,-,0.78,0.96,-,0.00,-0.12,28.20%,27.60%,8.00%,22.80%,21.86M,1.00
WWR,5.27,2.14,DOWN,54301507,Basic Materials,-13.20M,-,15,-,-,-,-,0.35,-,0.00,-0.35,11.50%,-9.90%,-,-,47.08M,1.41
WYY,9.63,3.84,DOWN,21834845,Technology,-14.20M,92.20M,253,2.00,-,-,0.24,0.80,7.31,0.00,-1.63,12.00%,-37.20%,-0.10%,-15.40%,8.70M,1.13
XPL,0.55,0.51,DOWN,36160462,Basic Materials,-3.40M,-,5,-,-,-,-,1.53,-,0.00,-0.05,13.30%,-14.50%,-,-,64.77M,1.39
XTNT,1.23,0.56,DOWN,69286518,Health Care,-8.00M,56.00M,116,3.00,-,-,1.23,2.06,-,0.57,-0.09,74.70%,-26.50%,-8.30%,-14.30%,108.66M,0.62
YCBD,2.69,1.08,DOWN,20286124,Health Care,-62.80M,37.30M,154,3.00,-,-,0.45,0.37,-,0.00,-1.06,15.40%,-100.10%,-23.20%,-,59.32M,2.06
ZDGE,5.72,8.61,UP,31978955,Technology,7.70M,24.40M,51,2.00,4.07,-,1.35,0.74,2.51,0.00,0.50,24.90%,21.00%,24.80%,31.40%,14.31M,1.07
ZOM,0.35,0.33,DOWN,224898449,Health Care,-18.80M,12.10M,47,2.00,-,-,16.71,0.83,-,0.01,-0.02,9.90%,-7.00%,-6.80%,-,979.90M,0.74
