,Symbol,Start,End,Label,Market.Cap,Sector,Income,Sales,Employees,price.to.earnings,Price.Earnings.to.Growth,Price.to.Sales.Ratio,Price.to.Book,Price.to.free.cash.flow,debt.to.equity,EPS..ttm.,Inst.Own,ROE,ROI,Profit.Margin,Shs.Outstand,Beta
1303,SMFG,6.1,6.77,UP,38497143756,Finance,5080000000,14140000000,101023,7.84,1.38,2.84,0.48,0,2.31,0.74,0.018,0.062,0.026,0.359,6850000000,0.76
1304,SMG,200.72,158.99,DOWN,2520402973,Industrials,-266100000,4170000000,2400,0,0,0.68,6.85,0,8.32,-4.85,0.683,-0.328,0.17,-0.064,55400000,1.43
1305,SMLP,12.57,22.24,UP,201310597,Energy,-109500000,396400000,209,0,0,0.52,0.28,1.94,1.72,-11.8,0.491,-0.145,0.025,-0.276,10170000,2.46
1306,SMP,40.11,52.45,UP,815788306,Consumer Discretionary,84500000,1370000000,5000,9.61,1.37,0.58,1.31,0,0.45,3.8,0.846,0.11,0.134,0.048,21430000,0.51
1307,SMR,10.09,10.03,DOWN,481040095,Industrials,-51400000,4000000,496,0,0,636.14,0,0,0,-0.23,0.495,0,0.236,0,220370000,0
1308,SNA,166.92,214.25,UP,11796874806,Consumer Discretionary,896500000,4790000000,12800,13.88,4.96,2.54,2.82,39.79,0.28,16.5,0.91,0.209,0.163,0.187,53200000,1.09
1309,SNAP,49.59,48.03,DOWN,16090683183,Technology,-1118600000,4600000000,5661,0,0,3.39,5.56,113.13,1.29,-0.69,0.64,-0.327,-0.118,-0.243,1610000000,0.94
1310,SNDA,11.59,27.87,UP,111733679,Health Care,-2900000,233600000,2441,1.49,0.14,0.44,0,0,0,10.62,0.711,0.034,0.25,-0.012,6360000,1.6
1311,SNDR,20.46,26.87,UP,3947422309,Industrials,481800000,6620000000,16050,8.34,1.58,0.6,1.46,6.22,0.08,2.7,0.533,0.187,0.147,0.073,178000000,1.02
1312,SNN,42.97,34.65,DOWN,10461402924,Health Care,496000000,5210000000,18000,21.41,4.65,2.03,1.97,0,0.54,1.13,0.095,0.092,0.067,0.095,438120000,0.58
1313,SNOW,278.24,340.63,UP,51155200000,Technology,-675600000,1640000000,3992,0,0,25.35,7.58,127.4,0,-2.17,0.679,-0.129,-0.142,-0.413,318360000,0
1314,SNV,32.15,47.67,UP,5806809100,Finance,719400000,1840000000,5005,8.13,1.02,3.69,1.43,9.21,0.45,4.91,0.705,0.16,0.236,0.387,145330000,1.36
1315,SNX,80.4,113.82,UP,8769620852,Consumer Discretionary,546100000,61710000000,22000,16.35,1.6,0.14,1.14,0,0.53,5.71,0.876,0.069,0.046,0.009,95110000,1.57
1316,SO,59.36,68.36,UP,71003241842,Utilities,3400000000,28000000000,27300,20.12,3.11,2.46,2.19,0,1.76,3.15,0.623,0.117,0.042,0.121,1090000000,0.51
1317,SOI,8.35,6.41,DOWN,449105243,Industrials,9700000,239000000,179,40.29,0,3.03,1.88,0,0.01,0.31,0.859,0.016,-0.005,0.014,46610000,1.49
1318,SOL,12.77,5.94,DOWN,300092739,Technology,-2800000,50100000,164,0,0,6.07,0.76,0,0.08,-0.04,0.429,-0.007,0.027,-0.055,66960000,2.04
1319,SON,58.4,57.71,DOWN,6046838063,Industrials,434400000,7010000000,20500,13.28,0.98,0.86,2.97,0,1.62,4.41,0.805,-0.023,0.155,-0.006,98000000,0.75
1320,SONY,100.07,125.92,UP,83349292900,Consumer Staples,5970000000,67080000000,108900,15.79,1.36,1.3,2.02,989.14,0.53,4.78,0.077,0.133,0.093,0.094,1240000000,0.95
1321,SOS,72,42.15,DOWN,27623709,Finance,-43200000,306000000,167,0,0,0.1,0.05,0,0,-298,0.032,-0.091,-0.066,-0.141,5700000,0.65
1322,SPCE,23.21,13.83,DOWN,1190089819,Industrials,-332900000,3400000,804,0,0,382.38,2.07,0,0.64,-1.29,0.391,-0.408,-0.357,0,258590000,0.82
1323,SPG,82.81,160.04,UP,35695303542,Real Estate,2110000000,5200000000,2400,18.23,2.12,7.05,12.68,82.3,8.21,6.41,0.885,0.653,0.082,0.405,328440000,1.53
1324,SPGI,333.25,470.48,UP,1.05E+11,Finance,3490000000,10330000000,22850,26.69,3.22,10.23,2.83,73.81,0.29,11.96,0.921,0.118,0.54,0.338,329600000,1.06
1325,SPH,14.58,14.66,UP,1034244274,Utilities,177500000,1470000000,3131,5.96,1.49,0.72,1.85,11.34,1.91,2.78,0.221,0.354,0.127,0.121,63280000,0.66
