"dataset","Symbol","Start","End","Label","Market.Cap","Sector","Income","Sales","Employees","Analyst.Rating..1.buy.5.sell.","price.to.earnings","Price.Earnings.to.Growth","Price.to.Sales.Ratio","Price.to.Book","Price.to.free.cash.flow","debt.to.equity","EPS..ttm.","Inst.Own","ROE","ROI","Profit.Margin","Shs.Outstand","Beta"
"nyse","ODC",34,32.67,"DOWN",210345980,"Industrials",5700000,348600000,869,0,37.43,0,0.61,1.36,0,0.22,0.81,0.663,0.037,0.026,0.016,6760000,0.47
"nyse","OEC",16.57,18.11,"UP",963559774,"Industrials",84300000,1.81e+09,1475,1.7,12.68,0.41,0.59,2.7,0,2.23,1.38,0.9836,0.24,0.151,0.047,60810000,1.7
"nyse","OFC",25.37,28.36,"UP",2982590414,"Real Estate",0,735950000,405,2,30.89,3.77,4.09,1.8,0,0,0.86,0,0,0.017,0,112420000,0.99
"nyse","OFG",17.68,26.85,"UP",1330337110,"Finance",152900000,459900000,2269,2,9.11,1.14,2.87,1.33,20.08,0,3.06,0.948,0.146,0.306,0.332,48390000,1.18
"nyse","OGE",31.94,38.25,"UP",7331421849,"Utilities",924300000,2.84e+09,2185,2.4,7.96,4.19,2.57,1.73,0,1.17,4.61,0.702,0.226,0.083,0.326,200200000,0.65
"nyse","OGS",75.46,77.46,"UP",4192139016,"Utilities",215200000,2.35e+09,3600,2.3,19.54,3.91,1.73,1.72,0,1.7,3.98,0.882,0.088,0.041,0.089,54260000,0.6
"nyse","OHI",35.03,29.65,"DOWN",7397894454,"Real Estate",451300000,1.03e+09,70,2.7,17.83,0,7.43,2.06,0,1.42,1.83,0.665,0.116,0.027,0.44,235850000,0.95
"nyse","OI",11.48,11.87,"UP",2555306682,"Consumer Discretionary",4.61e+08,6.67e+09,24000,2.7,5.63,0.7,0.38,2.23,10.57,3.93,2.9,0.961,0.571,0.069,0.07,155680000,1.43
"nyse","OII",8.23,11.28,"UP",1409147624,"Energy",-3.6e+07,2e+09,8500,2.1,0,0,0.73,3.03,45.97,1.49,-0.36,0.914,-0.074,-0.003,-0.018,100260000,2.93
"nyse","OIS",5.22,4.99,"DOWN",411189615,"Industrials",-32300000,696600000,2373,2.2,0,0,0.62,0.64,0,0.23,-0.54,0.896,-0.047,-0.063,-0.046,62670000,3.13
"nyse","OKE",37.5,58.48,"UP",26527976106,"Utilities",1.58e+09,2.14e+10,2847,2.6,17.59,2.17,1.28,4.53,234.96,2.25,3.52,0.687,0.263,0.107,0.074,447450000,1.65
"nyse","OLN",24.28,57.41,"UP",7319187129,"Industrials",1.44e+09,9.83e+09,7750,2.1,6.18,3.88,0.78,3.18,4.66,1.01,9.31,0.956,0.538,0.296,0.146,141200000,1.41
"nyse","OLP",19.62,35.1,"UP",477529644,"Real Estate",37200000,84500000,9,2.7,12.81,2.13,5.57,1.51,134.52,1.35,1.82,0.495,0.121,0.08,0.44,20360000,1.33
"nyse","OMC",60.88,73.76,"UP",14806350054,"Consumer Discretionary",1.28e+09,1.428e+10,71700,2.5,11.88,1.12,1.04,5.44,81.96,1.99,6.13,0.945,0.44,0.184,0.091,2.05e+08,0.88
"nyse","OMF",47,50.25,"UP",4805716524,"Finance",9.61e+08,5.08e+09,8800,1.9,5.07,0.25,0.91,1.57,2.45,6.04,7.58,0.843,0.314,0.063,0.189,123350000,1.68
"nyse","OMI",28.6,43.53,"UP",1290871614,"Health Care",1.54e+08,9.88e+09,6900,2.1,9.45,2.88,0.14,1.49,7.79,2.68,2.03,0,0.165,0.145,0.016,74710000,0.56
"nyse","ONTO",47.77,100.89,"UP",3325883633,"Technology",203900000,977600000,1411,1.8,18.25,1.52,3.6,2.42,22.12,0,4.08,0.988,0.118,0.1,0.176,49620000,1.31
"nyse","OOMA",13.78,20.37,"UP",394146000,"Consumer Discretionary",-9e+05,202700000,383,1.8,0,0,1.93,6.71,301.49,0,-0.04,0.83,-0.016,-0.038,-0.004,24390000,0.75
"nyse","OPAD",11.01,6.5,"DOWN",232584606,"Finance",5e+07,3.86e+09,1000,2.1,6.39,0,0.04,0.53,0,3.58,0.11,0.719,0.178,0.015,0.013,245840000,0
"nyse","OPFI",10.21,4.51,"DOWN",31427881,"Technology",30100000,396500000,573,2,6.11,0,0.58,0,1.52,0,0.35,0.308,-2.678,0.224,0.076,13530000,0
"nyse","OPY",31.41,46.32,"UP",391113530,"Finance",72800000,1.16e+09,2889,0,7.2,0.48,0.35,0.56,0,0.72,5.32,0.437,0.091,0.124,0.063,11270000,1.14
"nyse","ORA",91.61,78.15,"DOWN",5069280385,"Utilities",63500000,702600000,1385,2.7,89.64,8.96,8.05,3.09,0,0.99,1.13,0.949,0.034,0.041,0.09,56110000,0.49
"nyse","ORAN",12.25,10.65,"DOWN",25258284420,"Telecommunications",3.97e+09,4.245e+10,132002,3,6.52,0,0.61,0.75,0,1.47,1.5,0.01,0,0.02,0,2.66e+09,0.23
"nyse","ORCL",63.75,88.01,"UP",209923509286,"Technology",5.81e+09,4.416e+10,143000,2.7,36.46,3.38,4.74,0,107.76,0,2.1,0.43,-0.752,0.144,0.132,2.69e+09,1.01
"nyse","ORI",18.29,24.6,"UP",7128722521,"Finance",801700000,8.64e+09,9600,2.7,8.87,0.89,0.83,1.1,12.41,0.25,2.61,0.746,0.203,0.099,0.155,303790000,0.82
"nyse","ORN",4.78,3.78,"DOWN",72512955,"Industrials",-16500000,714400000,378,2.5,0,0,0.1,0.5,0,0.35,-0.53,0.551,-0.138,-0.049,-0.028,30950000,0.71
"nyse","OSG",2.09,1.91,"DOWN",257876266,"Energy",-16500000,411400000,953,0,0,0,0.61,0.77,22.37,1.33,-0.18,0.379,-0.048,-0.024,-0.04,91250000,0.24
"nyse","OSH",57,35.07,"DOWN",4901362208,"Health Care",-493500000,1.82e+09,3800,2,0,0,2.45,0,0,0,-2.19,0.959,0,-0.433,-0.271,226490000,0
