"Symbol","Start","End","Label","Market.Cap","Sector","Income","Sales","Employees","Analyst.Rating..1.buy.5.sell.","price.to.earnings","Price.Earnings.to.Growth","Price.to.Sales.Ratio","Price.to.Book","Price.to.free.cash.flow","debt.to.equity","EPS..ttm.","Inst.Own","ROE","ROI","Profit.Margin","Shs.Outstand","Beta"
"EQR",57.5,90.54,"UP",23721233094,"Real Estate",1.14e+09,2.68e+09,2400,2.6,19.73,0,8.46,2.05,47.52,0.68,3.05,0.94,0.105,0.086,0.426,375850000,0.78
"EQT",13.41,22.04,"UP",15437954970,"Energy",1.86e+09,7.86e+09,693,1.9,9.61,0,2.12,1.7,8.21,0.5,4.6,0.992,0.202,-0.06,0.237,369990000,1.16
"ERJ",6.32,17.71,"UP",1940274410,"Industrials",-4100000,3.94e+09,15427,2.2,0,0,0.48,0.69,2.74,1.18,-0.02,0.385,-0.002,0.018,-0.001,183660000,1.23
"ES",84.51,91.14,"UP",26385122947,"Utilities",1.33e+09,1.104e+10,9227,2.6,19.56,3.41,2.33,1.72,0,1.42,3.84,0.821,0.09,0.047,0.12,345890000,0.48
"ESE",99.98,87.9,"DOWN",2226940380,"Telecommunications",71600000,806500000,2700,1.3,31.96,2.13,2.77,2.2,48.19,0.22,2.75,0.978,0.07,0.054,0.089,25860000,1.08
"ESI",17.3,24.02,"UP",4221078000,"Industrials",178300000,2.62e+09,5300,2,24.42,3.93,1.61,1.88,22.87,0.83,0.72,0.987,0.074,0.057,0.068,244700000,1.36
"ESNT",42.16,45.56,"UP",4278818775,"Finance",892300000,1.05e+09,349,1.7,4.72,0.6,3.97,0.97,7.94,0.1,8.17,0.971,0.211,0.148,0.85,106920000,1.19
"ESRT",9.01,8.96,"DOWN",1188342746,"Real Estate",-19400000,642700000,693,2.7,0,0,1.88,1.27,16.43,2.38,-0.12,0.9731,-0.02,0.024,-0.03,167120000,1.11
"ESS",228.25,352.69,"UP",14379393377,"Real Estate",3.6e+08,1.56e+09,1757,2.5,37.94,4.8,8.71,2.39,32.26,1.08,5.52,0.98,0.061,0,0.23,65060000,0.75
"ESTC",141.46,124.78,"DOWN",6120282883,"Technology",-238900000,919400000,3056,1.8,0,0,5.67,12.97,0,1.44,-2.56,0.822,-0.565,-0.183,-0.26,94620000,1.04
"ESTE",5.65,11.28,"UP",1734108433,"Energy",161600000,923100000,81,2.5,9.61,0.27,2.5,1.01,4.87,0,1.71,0.858,0.208,0.214,0.175,78290000,2.13
"ET",6.1,8.16,"UP",39451488715,"Utilities",3.74e+09,8.176e+10,12558,1.6,9.87,0,0.47,1.44,10.85,1.81,1.25,0.449,0.15,0.114,0.046,3.09e+09,1.77
"ETD",20.34,26.16,"UP",652189117,"Consumer Discretionary",1.13e+08,8.5e+08,4239,2.3,6.37,0.69,0.82,1.73,21.72,0,4.42,0.894,0.287,0.253,0.133,25460000,1.15
"ETG",17.87,22.67,"UP",1235273108,"Finance",-11200000,67920000,4,0,0,0,62.67,0,0,0,-0.06,0.1627,0.149,0,0,196850000,1.24
"ETN",118.75,171.42,"UP",59892371000,"Industrials",2.31e+09,1.978e+10,85947,2.2,27.5,2.7,3.16,3.86,439.7,0.59,5.76,0.845,0.136,0.092,0.112,3.99e+08,1.15
"ETR",98.01,111.64,"UP",21677035219,"Utilities",1.23e+09,1.235e+10,12369,2.1,17.96,2.9,1.77,1.88,15.28,2.29,6.04,0.925,0.106,0.043,0.099,203380000,0.62
"ETRN",7.74,10.09,"UP",3644016020,"Energy",-1377800000,1.26e+09,766,2.7,0,0,3.02,2.32,6.73,0,-3.18,0.95,-0.723,-0.117,0,433330000,1.98
"ETWO",10.79,11.47,"UP",1733430051,"Technology",-3.83e+08,602200000,3682,2,0,0,2.74,0.6,0,0.39,-1.26,0,-0.126,-0.021,-0.636,302250000,0
"EURN",8.48,8.86,"UP",3577622022,"Consumer Discretionary",0,425310000,3147,1.7,8.44,0,9,1.66,0,0,2.25,0.3366,0,0,0,201680000,0
"EVC",2.82,6.83,"UP",398820874,"Consumer Discretionary",26400000,851800000,1094,1.7,17.63,0,0.45,1.76,5.52,0.83,0.3,0.807,0.104,0.089,0.031,84960000,1.08
"EVH",16.24,27.67,"UP",3080316043,"Health Care",-19500000,1.09e+09,3500,1.5,0,0,2.2,3.3,66.19,0,-0.22,0.926,-0.045,-0.02,-0.026,101190000,1.6
"EVR",108.08,136.23,"UP",4117573770,"Finance",631900000,3.06e+09,1950,2.4,7.07,0,1.42,3.15,4.03,0,15.11,0.843,0.569,0.504,0.246,39830000,1.54
"EVRG",53.75,68.43,"UP",13936575779,"Utilities",819800000,5.41e+09,4930,2.4,17.2,4.78,2.6,1.51,0,1.28,3.56,0.866,0.088,0.06,0.152,229900000,0.53
"EVRI",13.15,21.17,"UP",1708944071,"Consumer Discretionary",160200000,721500000,1550,1.6,11.95,0.6,2.35,8.61,9.08,4.84,1.59,0.911,0.969,0.186,0.222,91710000,2.41
"EVTC",38.33,50.17,"UP",2363547712,"Technology",148900000,611900000,2500,2.6,16.32,7.88,3.65,4.69,10.86,0.89,2.05,0.914,0.315,0.189,0.243,71480000,0.99
"EW",88.92,130.68,"UP",44728892356,"Health Care",1.46e+09,5.36e+09,15700,2,29.6,2.78,7.91,6.86,40.66,0.1,2.32,0.849,0.245,0.232,0.272,619800000,1.04
"EXP",99.67,165.96,"UP",4495417211,"Industrials",420800000,2.04e+09,2200,1.9,11.36,1.42,2.24,3.97,10.72,0.98,10.89,0.981,0.363,0.181,0.206,37140000,1.3
"EXR",110.29,225.57,"UP",23833664167,"Real Estate",891200000,1.76e+09,4309,2.3,22.87,3.81,11.55,6.37,57.34,1.99,6.65,0.985,0.264,0.105,0.47,134190000,0.54
"F",8.52,20.47,"UP",54052093430,"Consumer Discretionary",9.01e+09,1.5174e+11,183000,2.7,6.19,0.74,0.36,1.31,66.78,3.05,2.21,0.523,0.2,0.016,0.059,4.02e+09,1.42
"FAF",51.16,78.11,"UP",5254438722,"Finance",468800000,8.29e+09,22233,2.3,11.89,0,0.63,1.18,12.47,0.44,4.24,0.89,0.091,0.166,0.057,105300000,1.23
"FBC",40.36,47.79,"UP",2080702215,"Finance",2.71e+08,8.36e+08,5036,3,7.04,3.52,2.27,0.7,0,0.15,5.06,0.93,0.162,0.189,0.523,53270000,1.49
"FBK",34.42,43.87,"UP",1977008263,"Finance",135200000,4.31e+08,1962,2.2,14.81,0,4.57,1.5,4.03,0.12,2.85,0.655,0.125,0.215,0.401,47110000,1.02
"FBP",9.02,13.82,"UP",2950041932,"Finance",303900000,827600000,3075,2,9.93,0.69,3.49,1.91,9.17,0.12,1.54,0.999,0.158,0.284,0.362,194410000,1.17
"FC",22.41,45.7,"UP",700667558,"Consumer Discretionary",14700000,2.53e+08,1000,1.5,46.57,3.1,2.61,9.07,12.6,0.35,1.03,0.636,0.182,0.139,0.058,14170000,1.39
"FCF",10.88,16.11,"UP",1346964148,"Finance",127200000,307200000,1393,2.2,10.67,1.33,4.37,1.29,15.18,0.25,1.35,0.705,0.116,0.172,0.411,94020000,1
"FCN",110.76,153.91,"UP",5328353197,"Consumer Discretionary",226200000,2.93e+09,7518,1.5,26.06,3.31,1.96,3.39,55.37,0.19,6.32,0,0.14,0.132,0.077,33810000,0.22
"FCPT",28.46,29.76,"UP",2074777591,"Real Estate",95200000,213200000,461,2.1,22.02,0,10.1,2.15,0,0.98,1.21,0.992,0.1,0.064,0.447,83890000,0.88
"FCX",27.14,41.62,"UP",45279283548,"Basic Materials",5.11e+09,2.46e+10,24700,2.3,9.97,0,1.93,3.35,6.1,0.74,3.46,0.801,0.358,0.259,0.208,1.45e+09,1.94
"FDP",24.2,27.42,"UP",1248440621,"Consumer Staples",37100000,4.37e+09,40055,2,35.98,1.5,0.31,0.72,296.94,0.25,0.77,0.67,0.02,0.047,0.008,47830000,0.65
"FDX",253.19,258.56,"UP",41947430470,"Consumer Discretionary",3.58e+09,9.475e+10,191000,2.4,11.71,1.26,0.44,1.64,21.14,0.8,13.6,0.737,0.144,0.114,0.038,2.59e+08,1.32
"FE",29.51,41.36,"UP",21437886047,"Utilities",1.24e+09,1.194e+10,12395,2.5,17,0,1.76,1.98,0,1.97,2.2,0.899,0.127,0.055,0.104,571750000,0.45
"FEDU",21.4,14,"DOWN",19093681,"Real Estate",-15500000,34300000,286,3,0,0,0.54,0.3,0,0,-106.66,0.012,-0.201,-0.188,-0.453,2190000,-0.05
"FENG",7.14,5.17,"DOWN",54923709,"Industrials",-47200000,125300000,1245,2,0,0,0.4,0.31,0,0,-13.46,0.186,-0.252,-0.25,-0.377,12130000,1.23
"FERG",120.28,179.54,"UP",22806354890,"Consumer Discretionary",2.1e+09,2.857e+10,36000,2.5,11.53,18.9,0.8,5.04,33.38,0.84,9.6,0.789,0.443,0.257,0.074,212300000,1.26
"FET",12.75,15.85,"UP",150867529,"Industrials",-31100000,616600000,1400,3,0,0,0.26,0.51,0,0.87,-6.24,0.338,-0.096,-0.09,-0.05,5750000,2.98
"FF",13.2,7.54,"DOWN",299266185,"Industrials",1.6e+07,365800000,470,2,18.99,1.9,0.85,1.16,10.04,0,0.37,0.476,0.059,0.08,0.044,43760000,0.79
"FHI",28.04,37.74,"UP",3097672407,"Finance",240800000,1.28e+09,1968,2.7,13.45,0.87,2.43,3.13,46.52,0.41,2.64,0.84,0.222,0.196,0.188,85370000,1.03
"FHN",12.84,16.37,"UP",13144249507,"Finance",7.96e+08,2.16e+09,7676,2.8,16.87,1.78,6.08,1.8,15.09,0.22,1.44,0.819,0.106,0.219,0.369,534600000,0.98
"FICO",505.26,437.11,"DOWN",12088378452,"Technology",368600000,1.36e+09,3367,2.1,31.99,1.83,8.14,0,24.69,0,13.66,0.927,-0.682,0.353,0.27,25630000,1.23
"FINV",2.61,4.9,"UP",1243487910,"Finance",329800000,1.38e+09,4259,1.7,4.22,35.17,0.95,0.86,0,0,1.12,0.403,0.225,0.223,0.239,284570000,0.63
"FIS",139.91,109.99,"DOWN",50371023365,"Consumer Discretionary",8.46e+08,1.439e+10,65000,2,44.92,3.64,2.61,0.81,10.84,0.4,1.38,0.931,0.018,0.006,0.059,6.08e+08,0.86
"FIX",51.58,98.34,"UP",4406805356,"Industrials",228100000,3.88e+09,13200,2.2,19.28,1.93,1.14,4.59,32.55,0.4,6.31,0.989,0.258,0.119,0.059,35850000,1.24
"FL",39.1,43.96,"UP",2949265030,"Consumer Discretionary",4.88e+08,8.77e+09,16555,2.8,6.39,0.2,0.33,0.92,0,0.14,4.89,0,0.15,0.14,0.056,94100000,1.21
"FLNG",8.7,22.97,"UP",1674006863,"Consumer Discretionary",0,355070000,8,0,9.03,0,5.2,2.03,0,0,3.85,0.2508,0,0,0,53140000,0
